Created At,Text,Geo Coordinates.latitude,Geo Coordinates.longitude,User Location,Username,User Screen Name,Retweet Count,label,Observação,Id
Fri Jan 27 18:30:45 +0000 2017,@PMMG190 - 7º BPM - POMPÉU: Policiais prendem suspeitos de tráfico de drogas https://t.co/nv86jS8aHS,,,Minas Gerais,POLÍCIA MILITAR MG,pmmg190,0,Positivo,,6841
Tue Feb 07 16:15:40 +0000 2017,Adolescente é preso com armas e drogas em Tumiritinga  https://t.co/VtKdjht37U,,,,Daniel Araujo #beta,danaraujjobeta,0,Positivo,,7824
Thu Jan 05 10:11:07 +0000 2017,Doria cria 'Lei Soninha' contra atrasados - Estado de Minas https://t.co/tKWHpjUAab #notícias https://t.co/VvKxAmIWpr,,,Brasil,News JS Brasil,newsjsbr,0,Neutro,,833
Fri Jan 06 23:44:42 +0000 2017,"Atendendo a uma demanda apresentada por nós, o Governo de Minas enviou ofícios informando do pagamento de... https://t.co/E6nsmrhfx7",,,Uberlândia - MG,Professor Neivaldo,profneivaldo_,0,Neutro,,440
Sat Jan 07 03:13:59 +0000 2017,"RT @ivo123zarate3: Me hace mal ver en instagram minas con buen estado físico y bronceado. Y yo acá morfando y sin pileta, bueno eso",,,mercedes ctes,Miriam�,MiriamCabrera00,12,Neutro,,3534
Thu Jan 05 19:49:40 +0000 2017,"ALGUMA DÚVIDA QUE ISSO DARIA ERRADO?
Banco do Brasil cobra de Minas R$ 1,5 bilhão em depósitos judiciais https://t.co/DmuGiih6ln",,,São Paulo,Paulo Andrade,Paseand,0,Neutro,,385
Wed Jan 04 23:23:52 +0000 2017,"Retweeted Estado de Minas (@em_com):

Despoluição da Pampulha e Via 710 estão entre os #desafios da gestão #Kalil... https://t.co/M0BorFdiAJ",,,Contagem,Daniel Ramos,danielnismo,0,Neutro,,2177
Sun Jan 01 01:14:15 +0000 2017,Marido de delegada que agrediu segurança é indiciado por lesão gravíssima em MG https://t.co/QfzdQk4a3Z by #UOL via @c0nvey,,,,douglas da cunha,ddcunhapenha,0,Positivo,,6398
Sun Feb 12 15:21:07 +0000 2017,"Dois homens são presos por tráfico de drogas em Japonvar, Norte de MG https://t.co/gUWYIB2kto https://t.co/eGY9MFe29e",,,"Fortaleza,Ceará/Brasil",Antonio Martins,AntonioFortal,0,Positivo,,7887
Sun Jan 22 06:39:22 +0000 2017,Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/ZMc8NZTYhu  #DilmaSabiaDeTudo https://t.co/zAwP8wgF1t,,,Campo Grande-MS,Wudson Paschoalino,Wudson_,0,Positivo,,7254
Wed Jan 04 18:48:23 +0000 2017,"Pimentel já está se preparando caso tenha que buscar mais parentes bêbados de helicóptero. (By MBL-BH).
https://t.co/FQjJXXHL3G",,,"São Paulo, Brasil",Tânia Battista,BattistaTania,0,Negativo,,1985
Tue Jan 24 19:31:41 +0000 2017,Prefeitura de Juiz de Fora apresenta ações de prevenção à febre amarela  https://t.co/hNwbGu4ztq,,,,Daniel Araujo #beta,danaraujjobeta,0,Positivo,,5662
Thu Jan 05 10:12:09 +0000 2017,"RT @mariosilva969: O Governo de minas comprou mais 2 aeronaves, e olha q Minas está falida. Na verdade falida p mim e p você, mas não p ele…",,,Do ponto A ao sabe lá onde...,Efontan,efontan,4,Negativo,,3749
Thu Feb 02 20:47:16 +0000 2017,#i5gornascimento @i5gornascimento g1 Vacinação de febre amarela em áreas de surto em MG chega a 90% e ministro ... https://t.co/IwW51tyaeI,,,,Steffani Prudencio,SteffaniPruden1,0,Positivo,,5860
Sun Jan 08 22:29:49 +0000 2017,RT @frednavarro: O governador Fernando Pimentel (PT-MG) mandou comprar mais dois helicópteros. Será que vai ter gêmeos?,,,Patna ,amitkumar bjp,amitk99154112,35,Negativo,,3404
Tue Jan 24 16:31:22 +0000 2017,Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/fFRaeq7Y49,,,Rio De Janeiro,Cleber Monteiro,clebermonteiro6,0,Positivo,,7200
Fri Jan 06 00:29:30 +0000 2017,"@ReisDdaniel qualquer 1 tem mais brasileiro q o alt mineiro. ate o bahia se trocasse de estado com o cruzeiro ,bahia seria o maior de minas",,,,fabiano luiz,fabianolvfroede,0,Neutro,,272
Wed Feb 08 17:27:24 +0000 2017,RT @educarmelhor: Designação para rede estadual preocupa funcionários de Juiz de Fora https://t.co/vkQbhBC7DV https://t.co/4a3fFLbdmN,,,"Juiz de Fora, MG",Elaine Peracci,elaineperacci,2,Positivo,,5530
Sat Jan 07 23:54:01 +0000 2017,"I'm at Ibit Park in Governador Valadares, MG https://t.co/0ZgfGU6Ngy",-41.94376817,-18.90203094,021 baixada,mattega,matmagal,0,Neutro,,1433
Tue Jan 03 14:28:11 +0000 2017,Polícia Civil identifica suspeito de roubo a ônibus em Juiz de Fora https://t.co/RFZzsXbDnH https://t.co/tFdFji2oZ0,,,Belo Horizonte - Minas Gerais,Wellington Rocha,Televan,0,Positivo,,6523
Thu Jan 05 14:29:01 +0000 2017,"RT @brasil_fotos: Mesmo depois de falir o estado de MG, Fernando Pimentel abre licitação para compra de 2 (sim, dois!) helicópteros. Inacre…",,,,Rosalva Meiry,rosalvameiry,163,Negativo,,2730
Tue Jan 03 14:11:09 +0000 2017,Governo anuncia ensino integral em três escolas estaduais do Triângulo https://t.co/PWJetHxFjb,,,Uberlândia,ofuzi,ofuzi,0,Positivo,,5437
Mon Jan 09 23:48:14 +0000 2017,"RT @edmarnarrador: É grave o estado de saúde do atacante Michael, que disputou o Brasileirão pelo América/MG. O carro em que estava colidiu…",,,SALVADOR/BA,Mychel Fernandes,mychelfernandes,16,Neutro,,3050
Tue Jan 24 10:44:17 +0000 2017,Dupla é presa em Patrocínio suspeita de envolvimento em roubo à fazenda https://t.co/MQCI7IbIGJ https://t.co/OW6JZlTxdZ,,,Belo Horizonte - Minas Gerais,Marcelo Rezende,Televans,0,Positivo,,6970
Wed Jan 04 20:56:56 +0000 2017,"RT @MCCNacional: Em plena crise, o governo de Minas está comprando mais 2 helicópteros. 

O Brasil venceu a primeira batalha! A... https://…",,,,Dalete Bonini Fagund,DaleteBonini,2,Neutro,,3797
Wed Jan 25 14:42:43 +0000 2017,@PMMG190 - UNAÍ - PRISÃO DE AUTORES E APREENSÃO DE DROGAS https://t.co/nmIJtDs84u,,,Minas Gerais,POLÍCIA MILITAR MG,pmmg190,0,Positivo,,6910
Mon Jan 09 11:55:14 +0000 2017,"RT @bigodegalodoido: Eu sou da galoucura a maior do meu estado. ....
#AtleticanoSegueAtleticano",,,Contagm MG,Leonardo Henrique,leocontagem_mg,15,Neutro,,2703
Wed Jan 04 21:09:11 +0000 2017,@1chathais Também não acreditei. O Estado de Minas pulicou que estão estudando implantar uma unidade,,,Divinópolis/S. Seb.Paraíso/BH ,Diego Souza,diegotsouza_,0,Negativo,,130
Thu Jan 05 14:08:02 +0000 2017,"RT @Estadao: Em calamidade financeira, MG compra dois helicópteros https://t.co/VzvU4VQumR https://t.co/iXi3fGq5L7",,,Maricá-RJ,Elen,ElenVoar,245,Negativo,,3161
Wed Jan 04 13:35:00 +0000 2017,Secretaria de Educação de Formiga abre novo processo seletivo  https://t.co/GliuBVk37W,,,,Daniel Araujo #beta,danaraujjobeta,0,Positivo,,5465
Sun Jan 29 12:57:17 +0000 2017,Agricultores são vacinados contra a febre amarela no ES e em MG: https://t.co/txGeDN7l0J https://t.co/1erpMHxo4I,,,São Bento - PB,Daniel Nunes ,EuDanielNunes,0,Positivo,,5582
Tue Jan 10 00:11:54 +0000 2017,RT @cyrusxotao: 42- o japão é menor do que o estado de minas gerais. https://t.co/QNLUhWQzIS,,,madinha•camz•mallu,Noora,peitossg,607,Neutro,,2984
Thu Jan 05 08:53:20 +0000 2017,"RT @Ary_AntiPT: Governo de MG compra mais dois helicópteros. 
Um para cada filho 
Irene e Mathias Pimentel podem beber a vontade https://t.…",,,"Belo Horizonte, Brasil",Matteo Montella,GalloMontella,36,Negativo,,2663
Wed Jan 04 21:03:01 +0000 2017,RT @infomoney: Banco do Brasil avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/xX9wSOLNEv #mercados_IM,,,,ana cristina,anaalmeidaca38,14,Negativo,,3517
Sun Jan 08 13:05:45 +0000 2017,"Homem é preso após transportar drogas em ônibus de turismo, em MG https://t.co/xfbfTVd6Gn #SomosTodosDilma #Raynniere #BuyRaynniereOnItunes",,,,Raynniere Makepeace,itsRaynniere,0,Positivo,,6332
Sun Jan 08 08:00:59 +0000 2017,"Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/z9Fg85nzEd",,,Campo Grande - MS,Fernando Maciel,ferkmaciell,0,Positivo,,6246
Fri Jan 06 22:02:05 +0000 2017,RT @carlinibh: Kalil dá 30 dias a shoppings para criarem atendimento para estacionamento gratuito - Economia - Estado de Minas https://t.co…,,,,@papodogalo,VoltaTardelli_9,5,Neutro,,2838
Sun Jan 08 17:01:06 +0000 2017,RT @SturtSilva: A pressão e marcação cerrada da Polícia Militar de MG contra o governo Pimentel (PT) merece uma investigação: https://t.co/…,,,,Gilvano Vasconcelos,gilvasco,5,Negativo,,4279
Mon Jan 09 21:37:38 +0000 2017,"RT @rehventura: Eu queria ter a autoestima do Aecio. Perdeu em Minas p/ presidente, governador e agora a prefeitura, mas ainda acredita ter…",,,Minas Gerais,Wanderley,wanderley999,58,Neutro,,4100
Thu Jan 26 18:57:56 +0000 2017,Governo de MG prevê aterro e estações de lixo para o Centro-Oeste https://t.co/9Ppg8yTPmS https://t.co/AhcYKurISR,,,,fodido,eufodeu,0,Positivo,,5035
Tue Jan 10 00:04:17 +0000 2017,"RT @rehventura: Eu queria ter a autoestima do Aecio. Perdeu em Minas p/ presidente, governador e agora a prefeitura, mas ainda acredita ter…",,,bento city,carla viviane,dieviviarruda,58,Neutro,,4116
Wed Jan 04 22:58:41 +0000 2017,"RT @UOLNoticias: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois helicópteros https://t.co/ijUc1AmjLZ",,,"Vila Maria, São Paulo",Ana Alice,anaaltafini,141,Negativo,,4500
Wed Jan 04 20:59:19 +0000 2017,"RT @radioitatiaia: Mesmo em 'calamidade financeira', governo de Minas compra mais dois helicópteros: https://t.co/9PMQRR5fn8 https://t.co/9…",,,No coração das Minas Gerais ,Alemendes,alemendes0110,58,Negativo,,4046
Wed Jan 04 22:47:00 +0000 2017,"RT @rbrasiliense: Cara-de-pau é o governador de Minas, Fernando Pimentel, que depois de ser flagrado pegando o filhão na festa, comprou mai…",,,"Rio Grande do Sul, Brasil",Lia Araujo,LiaAraujo19,12,Negativo,,4063
Thu Feb 09 03:16:09 +0000 2017,Líderes de motim em presídio de Minas Gerais serão transferidos https://t.co/SudZn4eHAK https://t.co/WvPUCPFJIR,,,"Hollywood, CA",Mireya Cova,Mireya_Cova,0,Positivo,,7961
Thu Jan 05 18:25:42 +0000 2017,Governo anuncia ensino integral em três escolas estaduais do Triângulo https://t.co/FFedAlfAHS https://t.co/KCS3UUfDxV,,,Vitoria - ES,Luan Dias,LuanDiasRo,0,Positivo,,5393
Thu Jan 05 11:42:04 +0000 2017,Dieese: custo da cesta básica fica mais caro em 2016 - Economia - Estado de Minas https://t.co/I84TY3Wj6b,,,Belo Horizonte MG Brasil,Ricardo Carlini,carlinibh,0,Neutro,,825
Thu Jan 05 09:29:09 +0000 2017,"Governo de Minas Gerais gasta R$ 50,8 milhões com helicópteros https://t.co/l40pLntLBB https://t.co/pURlpyMM1q",,,Belo Horizonte - Minas Gerais,Vans BH - Shows BH,3213_4360,0,Negativo,,1225
Mon Jan 30 12:59:53 +0000 2017,"Tentativa de fuga no presídio de Mariana-MG, na madrugada de 30/01 https://t.co/IRbeAcGPWv",,,Ouro Preto - MG Brasil,jornalvozativa.com,jornalvozativa,0,Positivo,,7377
Thu Jan 05 01:36:45 +0000 2017,@Seriacoswik @marcovanbastenr @blogvaimengao @_AFlamenguista @jaimetricolorSP estado RJ/SUL/MG. Parece quase um brasileirão né?,,,,Breno Benassi,BonVoyageCRF,0,Neutro,,279
Thu Jan 05 08:47:53 +0000 2017,Criminalidade em Nova York cai ao menor nível em 25 anos - Estado de Minas - https://t.co/vHmkqiOZw3,,,,João,pinheirojpa,0,Neutro,,733
Mon Jan 09 15:18:45 +0000 2017,Jovem arremessado de brinquedo no interior de Minas tem melhora no quadro de saúde - Gerais - Estado de Minas https://t.co/XTLrIeLl6n,,,Belo Horizonte MG Brasil,Ricardo Carlini,carlinibh,0,Neutro,,1547
Sun Jan 08 16:48:10 +0000 2017,"Prezados, boa tarde!
Em breve será aberto edital na Universidade do Estado de Minas Gerais para contratação de... https://t.co/95EIb9qBrh",,,"Brazil, Belo Horizonte","Rodrigues, Dado",bhdado,0,Neutro,,2117
Sat Jan 07 01:04:39 +0000 2017,"RT @ivo123zarate3: Me hace mal ver en instagram minas con buen estado físico y bronceado. Y yo acá morfando y sin pileta, bueno eso",,,Argentina,Inés Alegre,inesalegre_,12,Neutro,,3531
Wed Jan 04 20:17:27 +0000 2017,"RT @brasil_fotos: Mesmo depois de falir o estado de MG, Fernando Pimentel abre licitação para compra de 2 (sim, dois!) helicópteros. Inacre…",,,Rio de Janeiro - RJ,Junior Monteiro,StreetTed,163,Negativo,,2744
Fri Feb 03 11:06:20 +0000 2017,Araxá recebe novas doses da vacina contra febre amarela https://t.co/Ctsx2A8MnS,,,Fortaleza - Ceará - Brazil,Sobral Host,sobralhost,0,Positivo,,5879
Fri Jan 06 10:29:11 +0000 2017,Suspeito de tráfico de drogas é preso com tabletes de maconha e crack em Belo Horizonte https://t.co/sdND3LkF4O https://t.co/R1OJne8tiB,,,São Joquim de Bicas,Henrique,junior_code,0,Positivo,,6794
Wed Jan 04 18:02:20 +0000 2017,"RT @UOLNoticias: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois helicópteros https://t.co/ijUc1AmjLZ",,,"Marília, São Paulo",PM4RTINI ��,pmartini73,141,Negativo,,4431
Sat Jan 07 17:31:54 +0000 2017,"RT @felipefonte: Com três anos, presídio privado em Minas Gerais não teve rebeliões. E agora, José? https://t.co/zOGi877LRn",,,"São Paulo, SP, Brasil",Thiago Rodovalho,ThiagoRodovalho,28,Positivo,,6580
Wed Jan 04 22:59:51 +0000 2017,https://t.co/SwyETTpOYY via @folha_com,,,Belo Horizonte/Brasil,Sinval,BrazAlmeida,0,Neutro,,1344
Tue Jan 10 03:21:01 +0000 2017,"RT @rehventura: Eu queria ter a autoestima do Aecio. Perdeu em Minas p/ presidente, governador e agora a prefeitura, mas ainda acredita ter…",,,Aracaju/SE,Lucas Mendonça Rios,lucasmrios,58,Neutro,,4128
Thu Jan 05 00:21:54 +0000 2017,RT @paulogmmoura: Licitação ocorre em meio à ‘calamidade financeira’ do Estado e à polêmica sobre uso de aeronave por Fernando... https://t…,,,,maria lucia silva,ma16luc,8,Negativo,,3988
Mon Jan 30 11:52:27 +0000 2017,"RT @g1: Tentativa de fuga é impedida no presídio de Mariana, MG, diz secretaria https://t.co/AavPLJ5BBN #G1 https://t.co/3WNyyYm2mU",,,,Marisa Gil,marisagil3_gil,6,Positivo,,7295
Fri Jan 06 17:05:52 +0000 2017,Kalil dá 30 dias a shoppings para criarem atendimento para estacionamento gratuito - Economia - Estado de Minas https://t.co/sxMNVhjK2n,,,Belo Horizonte MG Brasil,Ricardo Carlini,carlinibh,5,Neutro,,1572
Sat Feb 11 01:23:10 +0000 2017,"Quadrilha é presa por tráfico de drogas em Timóteo, MG https://t.co/sReh9qsarA https://t.co/jUYA8Dw25H",,,Red Hour Films - Los Angeles,Beula Huling,Beula_Huling,0,Positivo,,8126
Thu Jan 05 04:20:57 +0000 2017,"Así las cosas, el estado sembrando el pánico. Este es el #nuevoPRI #Saqueos #Gasolinazo #Walmart https://t.co/K2Wq3g7H6G",,,"México, DF",Lalo M. [(+)],lalo_mg_11,1,Neutro,,424
Sun Feb 12 00:47:07 +0000 2017,"RT @Petrina_Forshey: Polícia Federal e Polícia Civil combatem roubo de cargas em Medina, MG https://t.co/1pRU6niGie https://t.co/Av6voVzX28",,,Brazil,Lava Jato News,LavaJatoNews,1,Positivo,,8149
Thu Jan 05 08:54:28 +0000 2017,"RT @AnjokaMaximo: @o_antagonista  Põe na conta do @STF_oficial 
que não cumpriu seu papel de afastar Pimentel.
o Estado de MG pode cobrar T…",,,"VIX, Brasil", sergio ,semanet,42,Neutro,,2591
Thu Jan 05 09:48:03 +0000 2017,"RT @revistavoto: Governo de #Minas gasta R$ 50,8 milhões com helicópteros https://t.co/KNJEi9SXxb  #politica",,,"Belo Horizonte, Brasil",Claudia Aguillar,kauaguilar,13,Negativo,,4177
Sat Feb 11 15:47:42 +0000 2017,"Contra febre amarela, vacinação é oferecida 'casa a casa' em Varginha https://t.co/SlpklEAe5G https://t.co/m3TE8RgJ2D",,,Belo Horizonte - Minas Gerais,Marcelo Rezende,Televans,0,Positivo,,5959
Sun Jan 08 19:48:40 +0000 2017,"Tinha que ser do PT essa desgraça do Governador de Minas! Fernando Pimentel,seu FDP!!!",,,"Uberlandia,MG - Brazil",Luís Flávio Araújo,luis_flavio,0,Negativo,,4847
Sat Feb 04 12:31:48 +0000 2017,Ônibus carregado de drogas é flagrado na MG-353; motorista é preso https://t.co/ZsD6Wjez81 https://t.co/w1qdBu8PHR,,,,Joah Miranda,joahmiranda,0,Positivo,,7732
Thu Jan 05 23:44:50 +0000 2017,RT @MBLivre: https://t.co/zFsJ6ilIhi https://t.co/EzJRmrHXDk,,,"Curitiba, Brasil",Felipe Nascimento,FelipeNReal,50,Neutro,,3791
Thu Jan 05 22:05:49 +0000 2017,"Após prisão por exploração sexual infantil, irmão de Garotinho toma posse - Politica - Estado de Minas https://t.co/1BWluYigkk",,,Brasil,marli silvera dziadz,marlidzdz59,0,Neutro,,406
Thu Jan 05 14:11:04 +0000 2017,E governo ainda quer indenizar a família dos bandidos? @STF_oficial @MichelTemer #PresoTemQueTrabalhar;;;;;;; https://t.co/UGa7UXMYpX,,,,Graça Azeredo,azeredo_mg,0,Neutro,,885
Thu Jan 05 07:52:53 +0000 2017,RT @MulherTamarindo: E em Minas que acabou o dinheiro dos depósitos judiciais haahahha (via @AlbertoLage) https://t.co/049R6IaGiH (note o n…,,,,Rodrigo Saraceno,RDSaraceno,8,Negativo,,3825
Thu Feb 09 21:06:54 +0000 2017,"Polícia prende suspeito de tráfico de drogas em Santana do Paraíso, MG https://t.co/6CpOzu6AH5 https://t.co/uEkMQrP9Te",,,"Hollywood, USA",Ileana Bischel,Ileana_Bischel,0,Positivo,,8108
Thu Jan 05 19:54:44 +0000 2017,Grupo é detido após roubo e carreta recuperada em MG https://t.co/7cLp7PaVzF,,,Guarulhos - SP,Leonardo Nascimento,leonardogru,0,Positivo,,6306
Wed Jan 04 18:27:04 +0000 2017,"RT @UOLNoticias: Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois helicópteros https://t.co/ijUc1AmjLZ",,,Pará de Minas - MG,Rafael Mendes,ProfRafaMendes,141,Negativo,,4437
Thu Jan 05 14:27:09 +0000 2017,E governo ainda quer indenizar a família dos bandidos? @STF_oficial @MichelTemer #PresoTemQueTrabalhar...; https://t.co/hHX1FmiGhv,,,,Graça Azeredo,azeredo_mg,4,Neutro,,869
Thu Jan 05 17:02:55 +0000 2017,"Em calamidade financeira, governo de MG compra dois helicópteros | https://t.co/tWI7kcaKay https://t.co/34pl6elGE6",,,,Said Timbeta,Saidlsa13,0,Negativo,,945
Thu Feb 09 04:52:12 +0000 2017,"Dois homens são presos suspeitos de tráfico de drogas em Caldas, MG https://t.co/TAXABWLELx https://t.co/6uPjZuebko",,,NYC and San Francisco,Dorris Dechart,Dorris_Dechart,0,Positivo,,7910
Sun Jan 08 13:00:47 +0000 2017,tt Portugal se prepara para o adeus a Mario Soares - Estado de Minas https://t.co/d6gW4Dzw7y,,,Brasil,RODRIGO PIEKARSKI,pesao_47,0,Neutro,,4888
Thu Feb 09 12:10:19 +0000 2017,"Trio é preso suspeito de roubo, tráfico e abuso sexual em Uberlândia https://t.co/Ymu5AXinFT",,,Belo Horizonte - Minas Gerais,Marcelo Rezende,Televans,0,Positivo,,8196
Thu Jan 05 00:05:21 +0000 2017,"RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.

 htt…",,,013,gabriel,_Bechelli,444,Negativo,,2273
Wed Jan 04 23:14:07 +0000 2017,RT @MBLivre: https://t.co/zFsJ6ilIhi https://t.co/EzJRmrHXDk,,,"Belo Horizonte, Minas Gerais",Áquila ��,Aquila_Lopes77,50,Neutro,,3796
Thu Jan 05 01:03:56 +0000 2017,"RT @rbrasiliense: Cara-de-pau é o governador de Minas, Fernando Pimentel, que depois de ser flagrado pegando o filhão na festa, comprou mai…",,,,ruoy,ruoy,12,Negativo,,4054
Sun Jan 08 09:50:38 +0000 2017,Le dio mg al estado como que se dio cuenta����,,,,�Yamila�,Leila_Yamila1,0,Neutro,,1584
Wed Feb 08 22:48:38 +0000 2017,Vacinação contra febre amarela é intensificada na zona rural de Araxá https://t.co/Uvy83LyL2X #TimBeta,,,,Iuri Pohl #TimBeta,iuripohl,0,Positivo,,6014
Fri Jan 06 20:42:16 +0000 2017,"New post: ""Corpo em estado de decomposição é encontrado em Poços de Caldas, MG"" https://t.co/wIvOidvnw7",,,,Camila Maciel Serrão,CamilaMacielSer,0,Neutro,,1832
Sat Jan 07 00:44:22 +0000 2017,"I'm at Ingai in Ingai, Estado de Minas Gerais https://t.co/57iFV19WuX",,,,Eduardo #TimBeta,ebpereira20,0,Neutro,,1434
Mon Jan 09 12:36:37 +0000 2017,@PMMG190 - Menor é apreendido com drogas https://t.co/yAnCkKda4v,,,Minas Gerais,POLÍCIA MILITAR MG,pmmg190,0,Positivo,,6131
Wed Jan 25 19:16:43 +0000 2017,.@minsaude enviou equipe da Força Nacional do SUS p/ auxiliar no atendimento aos pacientes com suspeitas de febre amarela em MG. #ColetivaMS,,,"Brasil, Brasília",Ministério da Saúde,minsaude,2,Positivo,,5551
Wed Jan 04 19:13:00 +0000 2017,"RT @AnaPaulaVolei: Mais 2 helicópteros!!A cara de pau e a canalhice ainda só ñ são maiores q a calamidade financeira q vive o estado.

 htt…",,,Japan,Barba Branca,MarcosShirahige,444,Negativo,,2439
Mon Jan 09 08:26:01 +0000 2017,"Superávit comercial da Alemanha sobe a 21,7 bilhões de euros em novembro - Estado de Minas https://t.co/XPIWbWUq5r https://t.co/wymVBCuCyD",,,,Timbeta,txtimbeta,0,Neutro,,4806
Wed Jan 04 21:31:27 +0000 2017,BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/glmS24kNGm,,,,Otto Plastino,braniac58,0,Negativo,,529
Wed Jan 04 18:05:27 +0000 2017,"Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/AESCP2i0eN by #UOLNoticias via @c0nvey",,,,emerson cesario v,CesarioEmerson,0,Negativo,,747
Tue Jan 31 14:39:19 +0000 2017,"RT @jornalhojeemdia: Resultado das contas do governo de Minas melhora, mas continua no vermelho https://t.co/PhB9H3kvFS https://t.co/lzE3kK…",,,Brazil,Cláudio de Aquino,4kinao,4,Positivo,,5156
Wed Jan 04 20:38:58 +0000 2017,BB avisa Justiça que governo de MG não tem recursos em conta judicial https://t.co/epqGDtcJ8m,,,,#BrasilMelhor100PT,Hellblazer2014,1,Negativo,,523
Sat Jan 07 11:57:51 +0000 2017,"Esse Secretário de Temer, o imbecil Bruno Júlio (PMDB-MG),  é a cara do governo Golpista.",,,,Lau,Larry1906,2,Negativo,,1073
Wed Jan 04 21:37:27 +0000 2017,"Custaram R$ 21,8 milhões: Mesmo em calamidade, governo de MG compra mais dois... https://t.co/v3lTs7Clig by #UOLNoticias via @c0nvey",,,Brasil-Piauí,ZENEIDE CARVALHO,ZeneCarvalho,0,Negativo,,770
Wed Jan 25 20:42:00 +0000 2017,RT @TVNBR: Minas Gerais recebe auxílio da Força Nacional do SUS para atendimento aos pacientes com suspeita de febre amarela https://t.co/u…,,,"Brasil, Brasília",Ministério da Saúde,minsaude,5,Positivo,,5818
Thu Jan 05 21:27:42 +0000 2017,"I'm at cute in governador valadares, minas gerais w/ @andre280580 @tue_nunes07 @brenasunshine @newrandley https://t.co/AXCiN4g1fb",,,"Belo Horizonte, Brasil",Gleice #MAFIA#SDV,sytambalejy,1,Neutro,,1396
Sat Feb 04 11:50:05 +0000 2017,Ônibus carregado de drogas é flagrado na MG-353; motorista é preso https://t.co/OH4RRGFxNJ,,,Minas Gerais - Brasil,G1 Triângulo Mineiro,g1tvintegracao,0,Positivo,,7724
